timestamp,filename,remote_path,size_bytes,duration_s,success,wall_time_s,segments,model,device,compute,diar_backend,error
2025-08-12T17:02:08.182473,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,175.0,,medium.en,mps,int8,pyannote,unsupported device mps
2025-08-12T17:02:12.973301,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,0.1,,medium.en,mps,int8,pyannote,unsupported device mps
2025-08-12T17:02:17.868980,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,0.0,,medium.en,mps,int8,pyannote,unsupported device mps
2025-08-12T17:02:21.860975,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,0.0,,medium.en,mps,int8,pyannote,unsupported device mps
2025-08-12T17:06:24.914188,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,62.5,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:06:32.669655,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,2.9,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:06:41.076281,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,3.2,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:06:48.495109,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,2.9,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:11:48.451618,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,9.1,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:11:56.198691,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,3.4,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:12:04.650318,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,3.5,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:12:15.797245,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,3.4,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:17:16.784265,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,11.6,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:17:25.586532,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,4.6,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
