timestamp,filename,remote_path,size_bytes,duration_s,success,wall_time_s,segments,model,device,compute,diar_backend,error
2025-08-12T17:17:34.373568,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,3.7,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:17:41.720149,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,3.4,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:18:03.690159,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,10.4,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:18:10.312713,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,2.8,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:18:19.521376,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,4.0,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:18:26.526472,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,3.3,,medium.en,cpu,int8,pyannote,FasterWhisperPipeline.transcribe() got an unexpected keyword argument 'vad'
2025-08-12T17:23:20.391687,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,60.3,,medium.en,cpu,int8,pyannote,"Invalid input features shape: expected an input with shape (1, 80, 3000), but got an input with shape (1, 80, 29649) instead"
2025-08-12T17:24:05.815896,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,41.3,,medium.en,cpu,int8,pyannote,"Invalid input features shape: expected an input with shape (1, 80, 3000), but got an input with shape (1, 80, 29922) instead"
2025-08-12T17:25:08.396130,2025 07 28 830amfocusgroup009.m4a,2025 07 28 830amfocusgroup009.m4a,40845952,,False,56.2,,medium.en,cpu,int8,pyannote,"Invalid input features shape: expected an input with shape (1, 80, 3000), but got an input with shape (1, 80, 29615) instead"
2025-08-12T17:25:50.896508,2025-07-30-1300-pm-focusgroup2.m4a,2025-07-30-1300-pm-focusgroup2.m4a,22452872,,False,37.6,,medium.en,cpu,int8,pyannote,"Invalid input features shape: expected an input with shape (1, 80, 3000), but got an input with shape (1, 80, 29858) instead"
2025-08-12T17:35:42.199391,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,524.1,,medium.en,cpu,int8,pyannote,'DataFrame' object has no attribute 'itertracks'
2025-08-12T17:56:25.610737,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,221.1,,medium.en,cpu,int8,pyannote,Missing Hugging Face token in env var HF_TOKEN.
2025-08-12T18:02:21.172106,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,353.1,,medium.en,cpu,int8,pyannote,Missing Hugging Face token in env var HF_TOKEN.
2025-08-12T18:13:24.875021,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,558.3,,medium.en,cpu,int8,pyannote,"list indices must be integers or slices, not str"
2025-08-12T18:40:45.402244,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,546.8,,medium.en,cpu,int8,pyannote,"list indices must be integers or slices, not str"
2025-08-12T19:13:50.468520,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,,False,570.8,,medium.en,cpu,int8,pyannote,"Invalid timestamp '00:00:01,550'"
2025-08-12T19:32:24.058622,2025-07-30-1215-pm-focusgroup1.m4a,2025-07-30-1215-pm-focusgroup1.m4a,23889596,,False,1111.3,,medium.en,cpu,int8,pyannote,"Invalid timestamp '00:00:00,031'"
2025-08-12T19:44:29.398055,Outdoor Hoop Activity.m4a,Outdoor Hoop Activity.m4a,12424343,519.509,True,621.1,114,medium.en,cpu,int8,pyannote,
2025-08-13T01:56:23.197396,2025-07-28-217-pm-back-right-corner-006.mov,2025-07-28-217-pm-back-right-corner-006.mov,2292563604,602.635,True,667.5,133,medium.en,cpu,int8,pyannote,
2025-08-13T02:10:00.565526,2025-07-28-315-pm-back-right-corner-005.MP4,2025-07-28-315-pm-back-right-corner-005.MP4,2708482528,711.177,True,714.3,134,medium.en,cpu,int8,pyannote,
2025-08-13T02:21:18.568331,2025-07-28-1030-am-ish.mov,2025-07-28-1030-am-ish.mov,1259513320,751.885,True,631.8,87,medium.en,cpu,int8,pyannote,
2025-08-13T02:55:03.187783,2025-07-28-1119-am-back-right-corner-010.mov,2025-07-28-1119-am-back-right-corner-010.mov,6843089485,1799.064,True,1800.2,427,medium.en,cpu,int8,pyannote,
2025-08-13T03:28:31.382623,2025-07-28-225-pm-back-left-corner-011.MP4,2025-07-28-225-pm-back-left-corner-011.MP4,6850690352,1799.064,True,1797.3,399,medium.en,cpu,int8,pyannote,
2025-08-13T04:00:40.171269,2025-07-28-145-pm-back-right-corner-002.mov,2025-07-28-145-pm-back-right-corner-002.mov,6843072444,1799.064,True,1702.9,381,medium.en,cpu,int8,pyannote,
2025-08-13T04:13:20.621658,2025-07-28-1106-am-go-pro-on-the-go-008.MP4,2025-07-28-1106-am-go-pro-on-the-go-008.MP4,3588502278,666.099,True,607.0,140,medium.en,cpu,int8,pyannote,
2025-08-13T04:37:13.631068,2025-07-28-830-am-focus-group-009.mov,2025-07-28-830-am-focus-group-009.mov,4876106673,1281.881,True,1264.0,265,medium.en,cpu,int8,pyannote,
2025-08-13T05:18:04.102648,2025-07-28-1118-am-back-left-corner-004.mov,2025-07-28-1118-am-back-left-corner-004.mov,5475587708,2898.797,True,2264.7,167,medium.en,cpu,int8,pyannote,
2025-08-13T05:28:55.323556,2025-07-28-1000-am-back-right-corner.MP4,2025-07-28-1000-am-back-right-corner.MP4,1265371526,751.884,True,605.5,87,medium.en,cpu,int8,pyannote,
2025-08-13T06:05:27.240062,2025-07-28-400-pm-ish-go-pro-on-the-go.MP4,2025-07-28-400-pm-ish-go-pro-on-the-go.MP4,11884531732,2114.112,True,1728.9,213,medium.en,cpu,int8,pyannote,
2025-08-13T06:34:31.620154,2025-07-28-355-pm-ish-go-pro-on-the-go.MP4,2025-07-28-355-pm-ish-go-pro-on-the-go.MP4,9657899203,1715.547,True,1398.8,154,medium.en,cpu,int8,pyannote,
2025-08-13T06:37:25.249254,GX010183.MP4,GX010183.MP4,658092836,202.269,True,148.3,5,medium.en,cpu,int8,pyannote,
2025-08-13T07:10:29.999294,GX010184.MP4,GX010184.MP4,7519280386,2197.762,True,1731.2,179,medium.en,cpu,int8,pyannote,
2025-08-13T07:23:25.595378,2025-07-28-1000-am-ish-back-left-corner-002.mov,2025-07-28-1000-am-ish-back-left-corner-002.mov,2677321099,703.803,True,673.1,209,medium.en,cpu,int8,pyannote,
2025-08-13T07:46:04.044058,2025-07-28-1110-am-go-pro-on-the-go.MP4,2025-07-28-1110-am-go-pro-on-the-go.MP4,7539407904,1343.609,True,1123.4,140,medium.en,cpu,int8,pyannote,
2025-08-13 18:53:04,1,1281.8333125,1,0
